,Samp1,Samp2,Samp3,Samp4,Samp5,Samp6,Samp7,Samp8,Samp9,Samp10,Samp11,Samp12,Samp13,Samp14,Samp15,Samp16,Samp17,Samp18,Samp19,Samp20,Samp21,Samp22,Samp23,Samp24,Samp25,Samp26,Samp27,Samp28,Samp29,Samp30,Samp31,Samp32,Samp33,Samp34,Samp35,Samp36,Samp37,Samp38,Samp39,Samp40,Samp41,Samp42,Samp43,Samp44,Samp45,Samp46,Samp47,Samp48,Samp49,Samp50,Samp51,Samp52,Samp53,Samp54,Samp55,Samp56,Samp57,Samp58,Samp59,Samp60,Samp61,Samp62,Samp63,Samp64,Samp65,Samp66,Samp67,Samp68,Samp69,Samp70,Samp71,Samp72,Samp73,Samp74,Samp75,Samp76,Samp77,Samp78,Samp79,Samp80,Samp81,Samp82,Samp83,Samp84,Samp85,Samp86,Samp87,Samp88,Samp89,Samp90,Samp91,Samp92,Samp93,Samp94,Samp95,Samp96,Samp97,Samp98,Samp99,Samp100
Gene1,19,13,24,14,12,3,11,16,21,11,2,22,5,4,26,11,18,5,9,3,0,4,0,3,25,16,25,10,15,15,24,17,5,5,16,7,19,16,6,3,15,37,5,0,21,6,14,13,1,17,21,3,3,1,5,20,16,12,8,21,26,17,7,3,4,12,33,33,16,6,13,17,25,16,23,11,4,3,1,11,12,13,18,8,6,8,0,19,8,16,11,13,25,8,18,19,18,15,1,21
Gene2,0,2,1,1,2,0,1,1,3,1,1,0,1,2,4,3,4,1,4,1,2,3,2,3,2,0,2,3,4,3,3,0,0,2,1,2,4,3,3,4,6,2,2,3,1,7,1,2,1,3,1,3,2,2,2,5,2,1,3,2,3,1,1,1,3,0,0,1,1,3,2,3,1,2,1,0,4,8,3,1,3,1,2,3,3,1,1,1,2,2,1,0,2,2,3,1,4,3,2,2
Gene3,2,2,2,1,4,4,0,3,4,3,0,3,4,1,0,0,2,3,0,2,0,0,2,6,2,1,3,3,3,1,0,1,1,4,2,0,2,4,2,1,1,1,0,0,1,3,2,2,3,3,4,1,2,5,2,1,2,3,2,2,1,0,3,1,1,4,2,3,1,2,3,1,3,2,3,0,3,3,3,2,5,1,1,4,2,4,0,3,2,1,0,1,4,0,2,2,1,1,1,2
Gene4,3,1,2,3,0,0,2,1,0,6,3,2,0,4,1,1,2,1,3,4,4,0,2,1,2,4,5,0,0,1,3,0,2,1,2,0,3,1,4,1,1,0,5,1,0,2,4,6,2,7,1,2,1,2,1,2,1,3,3,5,2,2,1,0,1,0,3,4,2,3,2,1,0,0,2,0,2,2,4,1,1,0,2,3,5,2,3,1,2,0,1,2,6,4,2,1,1,1,2,4
Gene5,2,0,2,3,2,4,1,3,5,2,0,2,3,1,3,3,0,2,0,1,2,1,2,2,0,1,2,0,4,0,1,0,2,3,2,0,0,2,2,1,1,2,1,1,2,3,1,3,1,1,3,2,1,1,0,4,3,1,2,1,2,5,1,4,3,0,2,4,4,1,2,2,5,2,2,1,3,2,0,3,0,3,2,2,0,1,3,2,1,3,0,0,4,2,3,7,1,2,2,3
Gene6,2,0,0,1,0,5,4,1,4,1,1,0,3,1,0,1,0,1,0,0,4,2,0,4,1,0,1,4,1,0,4,2,6,1,2,8,0,2,2,1,0,1,1,5,3,0,1,0,2,5,1,5,1,0,1,1,1,1,1,2,0,0,3,1,7,6,0,1,2,1,0,5,4,0,1,2,2,3,0,3,5,2,3,3,2,1,0,0,1,0,1,4,4,5,6,3,7,0,0,1
Gene7,2,9,7,11,10,0,4,9,12,9,5,6,1,7,8,6,8,2,3,2,0,2,0,1,8,6,3,6,5,8,4,14,2,0,12,2,6,10,2,2,4,3,5,0,5,4,5,5,0,5,8,0,0,1,1,5,5,10,1,5,10,6,8,1,1,2,4,9,5,0,7,6,10,5,7,1,5,0,0,6,2,13,4,7,3,9,2,10,5,6,2,9,10,6,1,4,3,3,2,6
Gene8,6,6,11,14,5,2,6,6,5,7,2,10,2,9,10,4,9,1,6,3,0,0,0,4,7,8,8,6,3,4,9,10,4,3,5,4,6,3,1,4,11,7,5,1,4,9,6,3,0,1,5,0,1,1,0,5,2,12,3,6,8,10,7,1,1,7,8,13,6,3,4,12,8,7,5,3,2,1,1,10,5,11,4,10,1,2,1,6,5,4,4,9,8,8,1,9,3,3,2,4
Gene9,3,6,3,6,8,2,9,8,4,5,3,3,2,4,7,5,7,4,4,6,0,5,4,6,5,10,4,3,7,5,6,5,6,6,6,9,8,6,3,9,6,9,7,5,4,7,4,3,7,3,9,9,5,6,3,6,3,6,3,4,11,8,3,7,5,6,3,4,11,3,5,7,3,5,11,2,3,8,8,2,4,9,7,8,10,4,1,5,9,3,4,7,5,5,4,4,5,3,2,2
Gene10,1,3,2,2,1,1,3,1,2,0,1,3,0,3,1,3,2,1,1,1,2,2,0,2,2,3,2,2,2,1,2,4,0,0,1,3,0,0,2,1,1,3,1,0,1,1,0,1,0,1,7,0,0,0,1,1,2,4,1,1,1,1,2,0,0,1,3,5,0,1,1,0,4,1,0,1,1,0,0,0,2,3,2,1,2,1,0,3,2,1,1,2,1,1,0,2,2,0,0,0
